canonical_event_id,alias_event_id
event-箱庭レコニング,event-定期公演
event-街,event-街2026
event-七尾東雲高校演劇科-定期公演-ドン・キホーテは故郷に帰りサンチョ・パンサは旅に出る,event-七尾東雲高校演劇科定期公演
event-ゲンタケ-花鳥風月-お披露目公演,event-花鳥風月
event-街,event-劇団新人類人猿-街
